"","term","freq"
"moab","moab",18
"lol","lol",18
"happened","happened",18
"yeah","yeah",18
"bringittothetable","bringittothetable",18
"dailycaller","dailycaller",17
"ht","ht",17
"calls","calls",17
"trapped","trapped",17
"lets","lets",17
"qaeda","qaeda",17
"race","race",17
"government","government",17
"saudi","saudi",17
"read","read",17
"macron","macron",17
"anti","anti",17
"force","force",17
"buying","buying",17
"ypg","ypg",16
"show","show",16
"noreen","noreen",16
"organization","organization",16
"zlando","zlando",16
"general","general",16
"wasnt","wasnt",16
"big","big",16
"saa","saa",16
"suspicion","suspicion",16
"south","south",16
"talk","talk",16
"qatar","qatar",16
"supports","supports",16
"french","french",16
"playing","playing",16
"wikileaks","wikileaks",16
"warns","warns",16
"middle","middle",16
"gonna","gonna",16
"expert","expert",16
"minister","minister",16
"stand","stand",16
"leave","leave",16
"traitor","traitor",16
"kids","kids",16
"jones","jones",15
"game","game",15
"gen","gen",15
"govt","govt",15
"opdaesh","opdaesh",15
"failed","failed",15
"mattis","mattis",15
"strikes","strikes",15
"city","city",15
"worldnetdaily","worldnetdaily",15
"kidnapped","kidnapped",15
"lost","lost",15
"ireland","ireland",15
"long","long",15
"hunting","hunting",15
"assange","assange",15
"jihad","jihad",15
"person","person",15
"charged","charged",15
"things","things",15
"blood","blood",15
"friends","friends",15
"point","point",15
"test","test",15
"erdogan","erdogan",14
"target","target",14
"intelligence","intelligence",14
"st","st",14
"guess","guess",14
"men","men",14
"went","went",14
"armed","armed",14
"running","running",14
"meets","meets",14
"falls","falls",14
"future","future",14
"inside","inside",14
"joke","joke",14
"fired","fired",14
"dog","dog",14
"ive","ive",14
"girl","girl",14
"documents","documents",14
"garda","garda",14
"laptops","laptops",14
"operatives","operatives",14
"virtual","virtual",14
"joint","joint",14
"region","region",14
"win","win",14
"hosting","hosting",14
"tcot","tcot",14
"woman","woman",14
"gop","gop",14
"takes","takes",14
"whats","whats",14
"trumps","trumps",14
"ebay","ebay",14
"saudiarabia","saudiarabia",14
"runs","runs",14
"wahhabism","wahhabism",14
"care","care",14
"recruiter","recruiter",13
"turkish","turkish",13
"syrias","syrias",13
"kills","kills",13
"legacy","legacy",13
"remember","remember",13
"fears","fears",13
"article","article",13
"found","found",13
"times","times",13
"secret","secret",13
"spread","spread",13
"yet","yet",13
"exposed","exposed",13
"court","court",13
"movement","movement",13
"peace","peace",13
"calling","calling",13
"muhammad","muhammad",13
"team","team",13
"refusing","refusing",13
"safe","safe",13
"discarded","discarded",13
"stronghold","stronghold",13
"bring","bring",13
"held","held",13
"jersey","jersey",13
"die","die",13
"western","western",13
"akbar","akbar",13
"pls","pls",13
"live","live",13
"quiapo","quiapo",13
"funny","funny",13
"mom","mom",13
"guns","guns",13
"jesus","jesus",13
"jihadist","jihadist",13
"prison","prison",13
"jclayfield","jclayfield",13
"fails","fails",13
"rebel","rebel",13
"put","put",13
"salafism","salafism",13
"awards","awards",13
"tonyposnanski","tonyposnanski",13
"history","history",12
"bomber","bomber",12
"chinese","chinese",12
"brave","brave",12
"refugees","refugees",12
"probe","probe",12
"paris","paris",12
"strike","strike",12
"jobs","jobs",12
"fund","fund",12
"assess","assess",12
"kurdish","kurdish",12
"religion","religion",12
"visit","visit",12
"truck","truck",12
"worldonalert","worldonalert",12
"arming","arming",12
"supporters","supporters",12
"comment","comment",12
"facts","facts",12
"pamelageller","pamelageller",12
"kashmir","kashmir",12
"bitch","bitch",12
"putin","putin",12
"malaysian","malaysian",12
"financing","financing",12
"investigation","investigation",12
"rcallimachi","rcallimachi",12
"understand","understand",12
"listen","listen",12
"jihadi","jihadi",12
"single","single",12
"rebels","rebels",12
"role","role",12
"radical","radical",12
"bombing","bombing",12
"prisonplanet","prisonplanet",12
"messages","messages",12
"hope","hope",12
"haha","haha",12
"anyasisi","anyasisi",12
"admitted","admitted",12
"gave","gave",12
"dangerous","dangerous",12
"leadership","leadership",12
"zone","zone",12
"yes","yes",12
"ads","ads",12
"tmeheret","tmeheret",12
"rest","rest",11
"shield","shield",11
"high","high",11
"leghari","leghari",11
"ph","ph",11
"kwilli","kwilli",11
"china","china",11
"germany","germany",11
"somali","somali",11
"young","young",11
"counter","counter",11
"joined","joined",11
"hey","hey",11
"funding","funding",11
"evil","evil",11
"hate","hate",11
"sargonofakkad","sargonofakkad",11
"taylor","taylor",11
"control","control",11
"gsddoglover","gsddoglover",11
"hezbollah","hezbollah",11
"send","send",11
"nbcnews","nbcnews",11
"reason","reason",11
"meet","meet",11
"democracy","democracy",11
"barackobama","barackobama",11
"loving","loving",11
"victory","victory",11
"bought","bought",11
"reported","reported",11
"wow","wow",11
"damn","damn",11
"fighter","fighter",11
"suspected","suspected",11
"allegiance","allegiance",11
"lot","lot",11
"radio","radio",11
"truth","truth",11
"protect","protect",11
"authorities","authorities",11
"create","create",11
"kerala","kerala",11
"reports","reports",11
"hear","hear",11
"devastated","devastated",11
"aleppo","aleppo",11
"battle","battle",11
"blasts","blasts",11
"yazidi","yazidi",11
"hard","hard",11
"followers","followers",11
"allies","allies",11
"making","making",11
"hillaryclinton","hillaryclinton",11
"ya","ya",11
"letting","letting",11
"bts","bts",11
"voting","voting",11
"billboard","billboard",11
"officer","officer",10
"militant","militant",10
"risetoflyy","risetoflyy",10
"liberals","liberals",10
"sudan","sudan",10
"eastern","eastern",10
"mohamed","mohamed",10
"liberated","liberated",10
"threats","threats",10
"hands","hands",10
"question","question",10
"fled","fled",10
"asks","asks",10
"murdering","murdering",10
"slitting","slitting",10
"stabbing","stabbing",10
"ypj","ypj",10
"tweets","tweets",10
"isisk","isisk",10
"kurds","kurds",10
"executes","executes",10
"quran","quran",10
"heres","heres",10
"isiss","isiss",10
"pay","pay",10
"tweet","tweet",10
"weapons","weapons",10
"freedom","freedom",10
"wait","wait",10
"whole","whole",10
"arms","arms",10
"post","post",10
"black","black",10
"bc","bc",10
"wouldnt","wouldnt",10
"agent","agent",10
"taking","taking",10
"shes","shes",10
"part","part",10
